SubmissionDate,starttime,endtime,duration,consent,age,gender,degree,international,closure_cam,closure_res,closure_date,location,location_perm,living,vulnerable,quarantine,experienced,dis_label,dis_healthcare,dis_internet,dis_academic,dis_social,dis_psych,change,fin_exp,fin_inc,fin_aid,fin_debt,exp_type,exp_more,exp_less,inc_more,inc_less,aid_more,aid_less,debt_more,debt_less,inst_response,anx_label,anx_nextmo,anx_summer,anx_longterm,inst_country,country,consent_l,gender_l,degree_l,international_l,closure_cam_l,closure_res_l,location_l,location_perm_l,living_l,vulnerable_l,quarantine_l,dis_healthcare_l,dis_internet_l,dis_academic_l,dis_social_l,dis_psych_l,fin_exp_l,fin_inc_l,fin_aid_l,fin_debt_l,inst_response_l,anx_nextmo_l,anx_summer_l,anx_longterm_l,inst_country_l,country_l,starttime_l,endtime_l,duration_m,duration_m_bins,KEY
2020-03-26T22:41:26.641Z,2020-03-26T22:33:24.480Z,2020-03-26T22:41:26.616Z,482,1,29,1,3,0,1,1,2020-03-23,3,1,2,1,0,4,,2,3,1,2,2,,3,1,2,2,2,300,,,2000,,,,,2,,1,1,2,0,0,Yes,Woman,Doctoral,Domestic,Yes,Yes,Different City,Yes,Family,Yes,No,Worse,Same,Much Worse,Worse,Worse,Increased,Decreased,No Change,No Change,Timely,Much Worse,Much Worse,Worse,United States of America (USA),United States of America (USA),43916.93986,,8.033333333,< 10min,uuid:145f4bad-5411-430f-b1be-5d8d9e1e312f
2020-03-26T22:42:29.952Z,2020-03-26T22:30:42.427Z,2020-03-26T22:42:29.924Z,707,1,,1,2,0,1,1,2020-03-15,2,0,1,0,0,2 3 2004,,2,1,2,1,2,,3,1,2,2,2 3 2004,500,,,1000,,,,,3,,1,1,1,0,0,Yes,Woman,Masters,Domestic,Yes,Yes,Same City,No,Roommates,No,No,Worse,Much Worse,Worse,Much Worse,Worse,Increased,Decreased,No Change,No Change,Too Slow,Much Worse,Much Worse,Much Worse,United States of America (USA),United States of America (USA),43916.93799,,11.78333333,< 20min,uuid:2243b9bb-954e-4b50-88bb-78eff1de41d8
2020-03-26T22:42:32.780Z,2020-03-26T22:39:09.971Z,2020-03-26T22:42:32.754Z,203,1,25,2,3,0,0,0,,3,1,2,1,0,,,2,2,3,2,2,,1,2,2,2,,,,,,,,,,3,,2,2,5,0,0,Yes,Man,Doctoral,Domestic,No,No,Different City,Yes,Family,Yes,No,Worse,Worse,Same,Worse,Worse,Decreased,No Change,No Change,No Change,Too Slow,Worse,Worse,Much Better,United States of America (USA),United States of America (USA),43916.94385,,3.383333333,< 05min,uuid:bd462ceb-60cc-42fe-af69-4a376e80d03d
2020-03-26T22:45:48.037Z,2020-03-26T22:29:33.134Z,2020-03-26T22:45:48.009Z,975,1,23,2,2,0,1,0,2020-03-11,2,1,3,0,0,,,2,2,2,1,1,,2,2,2,2,,,,,,,,,,2,,1,2,2,11,11,Yes,Man,Masters,Domestic,Yes,No,Same City,Yes,Alone,No,No,Worse,Worse,Worse,Much Worse,Much Worse,No Change,No Change,No Change,No Change,Timely,Much Worse,Worse,Worse,Austria,Austria,43916.93719,,16.25,< 20min,uuid:886a1c50-48b2-41db-9de6-2815633114d7
2020-03-26T22:56:02.579Z,2020-03-26T22:47:07.347Z,2020-03-26T22:56:02.541Z,535,1,26,1,3,1,1,1,2020-03-11,2,1,3,0,0,3,,2,3,1,2,2,,1,2,2,2,,,500,,,,,,,3,,2,2,3,11,11,Yes,Woman,Doctoral,International,Yes,Yes,Same City,Yes,Alone,No,No,Worse,Same,Much Worse,Worse,Worse,Decreased,No Change,No Change,No Change,Too Slow,Worse,Worse,Same,Austria,Austria,43916.94939,,8.916666667,< 10min,uuid:b500803e-7357-4289-b9b2-a8ab4a0c34ed
2020-03-26T23:07:19.869Z,2020-03-26T23:01:37.596Z,2020-03-26T23:07:19.842Z,342,1,24,2,2,1,1,0,2020-03-27,4,1,2,0,0,,,2,3,2,1,2,,1,2,2,2,,,3000,,,,,,,3,,2,2,2,71,64,Yes,Man,Masters,International,Yes,No,Different Country,Yes,Family,No,No,Worse,Same,Worse,Much Worse,Worse,Decreased,No Change,No Change,No Change,Too Slow,Worse,Worse,Worse,Great Britain,France,43916.95946,,5.7,< 10min,uuid:f2c403b5-b0df-494b-a858-5ce633c1e6ff
2020-03-26T23:42:27.722Z,2020-03-26T21:13:48.264Z,2020-03-26T23:42:27.695Z,8919,1,30,2,3,1,1,1,2020-03-15,2,0,2,0,0,3 4,,1,2,2,1,2,,2,2,2,2,,,,,,,,,,1,,3,1,3,0,0,Yes,Man,Doctoral,International,Yes,Yes,Same City,No,Family,No,No,Much Worse,Worse,Worse,Much Worse,Worse,No Change,No Change,No Change,No Change,Too Fast,Same,Much Worse,Same,United States of America (USA),United States of America (USA),43916.88458,,148.65,>= 30min,uuid:0321be66-a2e0-4db9-9a46-d99fa977c4ca
2020-03-26T23:57:01.428Z,2020-03-26T23:51:32.668Z,2020-03-26T23:57:01.405Z,329,1,24,1,2,0,1,1,2020-03-13,2,1,1,0,0,4,,3,3,3,1,3,,3,2,2,2,5,500,,,,,,,,2,,2,2,2,0,0,Yes,Woman,Masters,Domestic,Yes,Yes,Same City,Yes,Roommates,No,No,Same,Same,Same,Much Worse,Same,Increased,No Change,No Change,No Change,Timely,Worse,Worse,Worse,United States of America (USA),United States of America (USA),43916.99412,,5.483333333,< 10min,uuid:ab9db8ac-15bc-4a69-8d7a-96f28942c67e
2020-03-27T00:13:50.118Z,2020-03-26T23:51:40.679Z,2020-03-27T00:13:50.080Z,1329,1,35,1,2,0,1,0,2020-03-16,2,1,1,0,0,,,0,3,3,1,2,,2,1,2,2,,,,,3000,,,,,2,,,,,0,0,Yes,Woman,Masters,Domestic,Yes,No,Same City,Yes,Roommates,No,No,N/A,Same,Same,Much Worse,Worse,No Change,Decreased,No Change,No Change,Timely,N/A,N/A,N/A,United States of America (USA),United States of America (USA),43916.99421,,22.15,< 30min,uuid:96621646-d679-43f1-a387-1221a5f54862
2020-03-27T00:15:15.109Z,2020-03-27T00:11:32.777Z,2020-03-27T00:15:15.077Z,222,1,21,2,1,1,1,1,2020-03-22,4,1,2,0,0,1 3 2004,,2,2,2,1,2,,3,2,2,2,2 5,500,,,,,,,,3,,2,1,3,0,26,Yes,Man,Undergraduate,International,Yes,Yes,Different Country,Yes,Family,No,No,Worse,Worse,Worse,Much Worse,Worse,Increased,No Change,No Change,No Change,Too Slow,Worse,Much Worse,Same,United States of America (USA),Brazil,43917.00801,,3.7,< 05min,uuid:acdabe28-8567-4ed1-b3cb-d5c2cfdf3a27
